Tweet,Message,Match,Polarity
0,"Dean of the School of Business Administration Widener University Chester, PA ",NONE,neutral
1, sleptah Is it NA and Canada ,NONE,neutral
2,"RT KTHopkins Vile by Trudeau. Mocking the Office of the President of the United States. This from a man who has blacked up, dressed up ","vile,mocking",negative
3,RT IraLechner Independent davidfrum Trump doesn t understand that Canada spend 1 to 2 of their budget on their own military according ,trump,positive
4,"RT ParkJihoonChart iTunes Top 100 Kpop Album Chart Park Jihoon twt ""360"" 1 Japan 1 Australia 1 Malaysia 1 Phillipines 1 Indone ",top,positive
5,"RT ManishaKrishnan this story out of edmonton started bad and has gotten much worse. school board accuses Black student of gang ties, the ","bad,accuses",negative
6,RT SCMPNews Melania Trump wades into impeachment fight to defend teen son ,trump,positive
7,"RT Anthea06274890 Like a clique of ""mean girls"" in High School... gossiping behind another's back. Canada, France, and the UK MUST BE SO ",NONE,neutral
8,RT wildkidsparty ,NONE,neutral
9, DawnWillow I'm at work . I'm sure I would get in so much trouble if I did,NONE,neutral
10,"RT CBCQueensPark BREAKING As revealed 1st by CBCNews, Ont auditor general is questioning the Ford govt s environment plan. Says its fo ",breaking,negative
11,RT rexglacer Thats cute pretending Trudeau could give a shit if Canada pays a price for his childish frat boy behaviour ,"shit,childish",negative
12,"RT mudwaterclimate UK University income is higher than ever, but staff pay is falling in real terms and USS pension contributions rising ",falling,negative
13,RT EricLiboiron JSAnonQ CanadaSpecialA1 Here s a couple more for ya TrudeauWorstPM Canada hockeynightincanada WWG1WGA TheGreatA ,NONE,neutral
14,Supreme Court to decide whether to hear appeal from former Nazi interpreter Canada's top court will decide Thursda ,"supreme,appeal,top",positive
15,RT JP55056 . ,NONE,neutral
16,omg ,NONE,neutral
17,"RT KTHopkins Vile by Trudeau. Mocking the Office of the President of the United States. This from a man who has blacked up, dressed up ","vile,mocking",negative
18,RT angels pimp Suicide hotline numbers United Kingdom 116 123 United States 1 800 273 8255 Canada 1 800 456 4566 Ireland ,suicide,negative
19," KarenSoutar1 I think it's a good thought, go after international guys. Americans won't really want to come to Cana ",good,positive
20, Vlog vol.1 VanCity The full video is on my YouTube channel. amp Youtube ,NONE,neutral
21,"RT KTHopkins Vile by Trudeau. Mocking the Office of the President of the United States. This from a man who has blacked up, dressed up ","vile,mocking",negative
22,"RT rulajebreal I can t get over the fact that world leaders of America's historical allies France, Canada, UK amp Royals were literally c ",NONE,neutral
23,"RT KTHopkins Vile by Trudeau. Mocking the Office of the President of the United States. This from a man who has blacked up, dressed up ","vile,mocking",negative
24, I went back to do a dive as I was very curious to see if anything had changed. I am disappointed to say that nothi ,disappointed,negative
25,RT TundeTASH A Step by Step guide of how to apply online for a Student Visa to Canada by yourself without using an agent. This is for so ,NONE,neutral
26," CanadianPM DEAR THE UNITED NATIONS, MY ADVICE THE GOVERNMENT CANADA PRIME MINISTERS EFFECTIVE January 1994 TO PRE ",effective,positive
27," RaughKee AndrewScheer Only criticize the person that he admires, and never give solutions is for the country not ",criticize,negative
28,"Starting January 1, 2020, the legal age limit in Quebec will be raised from 18 to 21. How do you feel about this ne ",limit,negative
29, KirbyThibeault maccoubrey bobholmes1947 22 Minutes abkia What s YOUR solution to running Canada What a dumb q ,dumb,negative
30, SusanDelacourt ChantalHbert realDonaldTrump TorontoStar Trudeau won't lose face. I say it's about time as well ,NONE,neutral
31,"Thanks for the mention, GSEVAssociation. We're excited about the DC Fast Charging build out by petrocanada. Below ","excited,fast",positive
32,Good night and sleep tight with headleveler Enter to win a Standard Pillow Value 119.85 Canada deal dealsand ,"good,win",positive
33,El d a de ma ana estaremos en la Col. Ca ada Blanca para realizar el Canje de Armas de Fuego. Recuerda que la segu ,NONE,neutral
34,"RT DevinCow If he s guilty, he should be punished. Stop making it about party. Same goes for your people. We re Americans. CountryBefor ",NONE,neutral
35, KabiraJoe Anarchofree EconCircus beejereeno Christo81510056 McDonalds MaximumBurr I live in CANADA you wann ,NONE,neutral
36,I did not know this ,NONE,neutral
37,"I wonder how many missiles the US would be moving into, say, Canada, if Iran had military bases there. ",wonder,positive
38,RT DavidGa00551603 And the Canadian media continues to baffle us as to if they really are a news station or they are the Conservatives ow ,baffle,negative
39,RT KathleenGanley The UCP is not contributing one new dollar. Rural residents will pay an additional 200 million in taxes. This provinc ,NONE,neutral
40,RT jakob glogauer Read my Dec 4 Newsletter featuring GUEST COLUMN Candidate nominations in Canada are a mess let's fix that ,mess,negative
41, gwsluca NDP party political leader Canada ,NONE,neutral
42, PSGrewal2 JustinTrudeau MinPres Canada CanadaDev TeamCanada How much do you want to bet we re elect President ,NONE,neutral
43,"Confession for 20 yrs of my life, I thought these guys were an accurate rep of all of Canada My sincerest apolo ",NONE,neutral
44,RT hariateofim2 Giovannafc07 Canad Giovanna chaves,NONE,neutral
45,Canada doesn t want Trudeau. He got 75 of his votes from TO amp QC. TO 50 amp Montreal QC 25 . From 2 biggest cities ,NONE,neutral
46,RT MikeBarrettON AndrewScheer amp our CPC HQ team have a positive vision for a united Canada. Where no ambition is too big and where no ,positive,positive
47," CanadianPM Why the Government of Canada sponsored me from Italy, if here Canada, THE GOVERNMENT OF CANADA WANTS T ",NONE,neutral
48,RT CBCIndigenous 'A chance to see who we really are' Six Nations builds own stock image library ,NONE,neutral
49, Who was representing Canada a liberal party leader or this man BorisJohnson ,NONE,neutral
50,Former Vice Canada Music Editor Sentenced to Nine Years for Drug Smuggling ,vice,negative
51,Former Vice Canada Music Editor Sentenced to Nine Years for Drug Smuggling ,vice,negative
52,Former Vice Canada Music Editor Sentenced to Nine Years for Drug Smuggling ,vice,negative
53,"Consumers deserve to know that the treatment of animals on farms in Canada is not overseen by any government, but r ",NONE,neutral
54,"RT dipbrat70 On CBCNews, AndrewScheer repeats his false claim that CPC is the only party with seats across . But CPC won no seats up ",NONE,neutral
55,"RT ezralevant Just like at the G7 meeting last year, Justin Trudeau was meek and obedient to Donald Trump when they were face to face. Bu ","like,trump",positive
